FECHA,AÑO,PERIODO,EMPRESA,DEPARTAMENTO,ESTRATO,TARIFA
Sep-25,2025,9,CHEC,Caldas,3,799.3356
Oct-25,2025,10,CHEC,Caldas,3,806.0394
Nov-25,2025,11,CHEC,Caldas,3,784.4307
Dic-25,2025,12,CHEC,Caldas,3,792.6373
Ene-26,2026,1,CHEC,Caldas,3,794.0179
Feb-26,2026,2,CHEC,Caldas,3,766.9899
* Pesos corrientes,,,CHEC,Caldas,3,-0.03403953487698454
Mar-25,2025,3,CHEC,Caldas,4,935.8165
Abr-25,2025,4,CHEC,Caldas,4,969.4901
May-25,2025,5,CHEC,Caldas,4,968.3658
Jun-25,2025,6,CHEC,Caldas,4,969.5563
Jul-25,2025,7,CHEC,Caldas,4,904.1773
Ago-25,2025,8,CHEC,Caldas,4,944.4215
Sep-25,2025,9,CHEC,Caldas,4,940.3948
Oct-25,2025,10,CHEC,Caldas,4,948.2817
Nov-25,2025,11,CHEC,Caldas,4,922.8596
Dic-25,2025,12,CHEC,Caldas,4,932.5145
Ene-26,2026,1,CHEC,Caldas,4,934.1387
Feb-26,2026,2,CHEC,Caldas,4,902.341
* Pesos corrientes,,,CHEC,Caldas,4,-0.034039591765120066
Mar-25,2025,3,CHEC,Caldas,"5 y 6, Ind y Com",1122.9798
Abr-25,2025,4,CHEC,Caldas,"5 y 6, Ind y Com",1163.3881
May-25,2025,5,CHEC,Caldas,"5 y 6, Ind y Com",1162.039
Jun-25,2025,6,CHEC,Caldas,"5 y 6, Ind y Com",1163.4676
Jul-25,2025,7,CHEC,Caldas,"5 y 6, Ind y Com",1085.0128
Ago-25,2025,8,CHEC,Caldas,"5 y 6, Ind y Com",1133.3058
Sep-25,2025,9,CHEC,Caldas,"5 y 6, Ind y Com",1128.4738
Oct-25,2025,10,CHEC,Caldas,"5 y 6, Ind y Com",1137.938
Nov-25,2025,11,CHEC,Caldas,"5 y 6, Ind y Com",1107.4315
